question,answer,nhops,base_question,cypher,neo4j_response,evaluation,evaluation_error
who wrote films that share actors with the film [The Pink Panther],Terence Frisby|F. Hugh Herbert|Matt Ember|Françoise Sagan|Monja Danischewsky|Edmond Rostand|Joseph L. Mankiewicz|Lawrence Kasdan|Akiva Goldsman|Ira Levin|Nancy Oliver|Eric Hatch|Cesare Zavattini|Sam Fell|Steve Martin|Leonard Wibberley|Ethan Coen|Robert Wade|Sax Rohmer|Bernard Gordon|Carl Reiner|Joseph McGrath|Isobel Lennart|Jean Kerr|Paul Haggis|Robert Nathan|Felix Jackson|Danièle Thompson|Gary Ross|Neil Simon|John Monk Saunders|Joe Keenan|Jacques Mayol|Alan J. Pakula|Peter Ustinov|Marcel Achard|Stanley Mann|George Gipe|Andrea Gibb|Christopher Lloyd|Everett Freeman|Michael Keon|Roland Emmerich|William Styron|Blake Edwards|Dan Brown|Edward Streeter|John Boulting|Donald Ogden Stewart|Michael H. Weber|Robert E. Sherwood|Christian Clavier|Thomas Sterling|Terry Rossio|Roger MacDougall|Bruce Jay Friedman|Francis Gwaltney|Robert Harling|Ed. Weinberger|Robin Estridge|Ted Elliott|Neal Purvis|Nora Ephron|Chris Nahon|Ursula Meier|Charles L. Clifford|William Davies|Dale Launer|Max Borenstein|William Rose|John Fante|Terry Southern|Dean Devlin|Ben Queen|Ian Fleming|Rosamond Marshall|Stephen Gross|James V. Simpson|Paul Henning|John Patrick Shanley|Ethan Canin|Howard Hawks|Norman Krasna|Nancy Meyers|Alan Simpson|Carl Gottlieb|P.G. Wodehouse|Michael Schroeder|Brad Lewis|Ron Howard|Morrie Ryskind|Lawrence Roman|Nora Johnson|James Thurber|George Eliot|Daniel Taplitz|Adam Brooks|James D. Solomon|Frederick Knott|John L. Balderston|Eric Ambler|Jo Swerling|Rick Moody|Franck Ollivier|David Atkins|Gene Towne|Wells Root|John Lasseter|Babaloo Mandel|Charles Crichton|Michael Elias|John Cleese|Andy Breckman|Brad Anderson|Joseph Hoffman|James Dearden|Ray Galton|Frank Harvey|Edwin Davis|Stan Daniels|Jerzy Kosinski|Carl Foreman|Tom J. Astle|Ernestine Gilbreth Carey|John Gay|Rumer Godden|Arthur Laurents|Richard Glatzer|Noel Langley|Nelson Algren|Katherine Leslie Moore|Andrew Bergman|Burt Cole|Albert Hackett|Jason Filardi|Kjell Sundvall|Alistair MacLean|Mary C. McCall Jr.|Dick Clement|Ian La Frenais|James Leasor|Frances Goodrich|Stanley Shapiro|Dennis Potter|Robert Hamer|Adam Rex|Michael Innes|Philip Yordan|Alan Hackney|Anthony Hope|William Shakespeare|Harry Kurnitz|Scott Neustadter|Michael Hoffman|William Harrison|C. Graham Baker|Peter Landesman|James Salter|Terence Rattigan|Peter Berneis|Israel Horovitz|Ben Jonson|Lorne Michaels|William Bowers|J.D. Zeik|Leonardo Bercovici|David Mamet|Lowell Ganz|Peter Sellers|Randy Newman|Barry Oringer|Charles Kenyon|Peter Lord|David Greene|Luc Besson,3,who wrote films that share actors with the film [],"MATCH (m:movie {name: ""The Pink Panther""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(shared_movies:movie)-[:written_by]->(w:writer)
RETURN w.name;","[{'w.name': 'Ben Jonson'}, {'w.name': 'Thomas Sterling'}, {'w.name': 'Joseph L. Mankiewicz'}, {'w.name': 'Frederick Knott'}, {'w.name': 'Nelson Algren'}, {'w.name': 'John Fante'}, {'w.name': 'Michael Keon'}, {'w.name': 'John Gay'}, {'w.name': 'Terence Rattigan'}, {'w.name': 'Michael Innes'}, {'w.name': 'Françoise Sagan'}, {'w.name': 'Arthur Laurents'}, {'w.name': 'James Leasor'}, {'w.name': 'Jean Kerr'}, {'w.name': 'Isobel Lennart'}, {'w.name': 'Alistair MacLean'}, {'w.name': 'Carl Foreman'}, {'w.name': 'Peter Ustinov'}, {'w.name': 'Eric Ambler'}, {'w.name': 'Robin Estridge'}, {'w.name': 'Leonardo Bercovici'}, {'w.name': 'Robert Nathan'}, {'w.name': 'Robert E. Sherwood'}, {'w.name': 'F. Hugh Herbert'}, {'w.name': 'Felix Jackson'}, {'w.name': 'Norman Krasna'}, {'w.name': 'Rumer Godden'}, {'w.name': 'Stephen Gross'}, {'w.name': 'P.G. Wodehouse'}, {'w.name': 'Joseph Hoffman'}, {'w.name': 'Paul Henning'}, {'w.name': 'Stanley Shapiro'}, {'w.name': 'Ian Fleming'}, {'w.name': 'Robert Wade'}, {'w.name': 'Neal Purvis'}, {'w.name': 'Paul Haggis'}, {'w.name': 'John Monk Saunders'}, {'w.name': 'Howard Hawks'}, {'w.name': 'Bernard Gordon'}, {'w.name': 'Robert Hamer'}, {'w.name': 'Philip Yordan'}, {'w.name': 'C. Graham Baker'}, {'w.name': 'Gene Towne'}, {'w.name': 'Charles L. Clifford'}, {'w.name': 'Morrie Ryskind'}, {'w.name': 'Peter Berneis'}, {'w.name': 'Everett Freeman'}, {'w.name': 'Eric Hatch'}, {'w.name': 'William Bowers'}, {'w.name': 'Francis Gwaltney'}, {'w.name': 'Lawrence Roman'}, {'w.name': 'James Dearden'}, {'w.name': 'Ira Levin'}, {'w.name': 'Rosamond Marshall'}, {'w.name': 'Kjell Sundvall'}, {'w.name': 'James Salter'}, {'w.name': 'Barry Oringer'}, {'w.name': 'David Greene'}, {'w.name': 'Michael Schroeder'}, {'w.name': 'Jerzy Kosinski'}, {'w.name': 'Leonard Wibberley'}, {'w.name': 'Roger MacDougall'}, {'w.name': 'Stanley Mann'}, {'w.name': 'Terence Frisby'}, {'w.name': 'Peter Sellers'}, {'w.name': 'Joseph McGrath'}, {'w.name': 'Terry Southern'}, {'w.name': 'John Cleese'}, {'w.name': 'John Boulting'}, {'w.name': 'Alan Hackney'}, {'w.name': 'Frank Harvey'}, {'w.name': 'Alan Simpson'}, {'w.name': 'Ray Galton'}, {'w.name': 'Burt Cole'}, {'w.name': 'Blake Edwards'}, {'w.name': 'Cesare Zavattini'}, {'w.name': 'Neil Simon'}, {'w.name': 'Ian Fleming'}, {'w.name': 'Robert Wade'}, {'w.name': 'Neal Purvis'}, {'w.name': 'Paul Haggis'}, {'w.name': 'Ethan Coen'}, {'w.name': 'William Rose'}, {'w.name': 'Wells Root'}, {'w.name': 'Donald Ogden Stewart'}, {'w.name': 'John L. Balderston'}, {'w.name': 'Noel Langley'}, {'w.name': 'Anthony Hope'}, {'w.name': 'Ian La Frenais'}, {'w.name': 'Dick Clement'}, {'w.name': 'Marcel Achard'}, {'w.name': 'Harry Kurnitz'}, {'w.name': 'Blake Edwards'}, {'w.name': 'Nora Johnson'}, {'w.name': 'Monja Danischewsky'}, {'w.name': 'James Thurber'}, {'w.name': 'Sax Rohmer'}, {'w.name': 'Ben Queen'}, {'w.name': 'Brad Lewis'}, {'w.name': 'John Lasseter'}, {'w.name': 'Steve Martin'}, {'w.name': 'Michael H. Weber'}, {'w.name': 'Scott Neustadter'}, {'w.name': 'Nancy Oliver'}, {'w.name': 'Andrea Gibb'}, {'w.name': 'Daniel Taplitz'}, {'w.name': 'Brad Anderson'}, {'w.name': 'David Mamet'}, {'w.name': 'Nora Ephron'}, {'w.name': 'Edmond Rostand'}, {'w.name': 'Steve Martin'}, {'w.name': 'Edward Streeter'}, {'w.name': 'Frances Goodrich'}, {'w.name': 'Albert Hackett'}, {'w.name': 'Andy Breckman'}, {'w.name': 'George Eliot'}, {'w.name': 'Steve Martin'}, {'w.name': 'Steve Martin'}, {'w.name': 'Michael H. Weber'}, {'w.name': 'Scott Neustadter'}, {'w.name': 'Ron Howard'}, {'w.name': 'Babaloo Mandel'}, {'w.name': 'Lowell Ganz'}, {'w.name': 'Lorne Michaels'}, {'w.name': 'Randy Newman'}, {'w.name': 'Steve Martin'}, {'w.name': 'Michael Elias'}, {'w.name': 'Steve Martin'}, {'w.name': 'Carl Gottlieb'}, {'w.name': 'Edwin Davis'}, {'w.name': 'Neil Simon'}, {'w.name': 'Nora Ephron'}, {'w.name': 'Ernestine Gilbreth Carey'}, {'w.name': 'George Gipe'}, {'w.name': 'Carl Reiner'}, {'w.name': 'Steve Martin'}, {'w.name': 'Nancy Meyers'}, {'w.name': 'Steve Martin'}, {'w.name': 'Steve Martin'}, {'w.name': 'Jason Filardi'}, {'w.name': 'Ursula Meier'}, {'w.name': 'Adam Rex'}, {'w.name': 'Tom J. Astle'}, {'w.name': 'Matt Ember'}, {'w.name': 'David Atkins'}, {'w.name': 'Carl Reiner'}, {'w.name': 'Steve Martin'}, {'w.name': 'Stan Daniels'}, {'w.name': 'Ed. Weinberger'}, {'w.name': 'Bruce Jay Friedman'}, {'w.name': 'Neil Simon'}, {'w.name': 'Katherine Leslie Moore'}, {'w.name': 'Jo Swerling'}, {'w.name': 'Dennis Potter'}, {'w.name': 'Steve Martin'}, {'w.name': 'Paul Henning'}, {'w.name': 'Stanley Shapiro'}, {'w.name': 'Dale Launer'}, {'w.name': 'Michael Hoffman'}, {'w.name': 'Mary C. McCall Jr.'}, {'w.name': 'Charles Kenyon'}, {'w.name': 'William Shakespeare'}, {'w.name': 'Robert Harling'}, {'w.name': 'Andrew Bergman'}, {'w.name': 'Lawrence Kasdan'}, {'w.name': 'Peter Landesman'}, {'w.name': 'James D. Solomon'}, {'w.name': 'Lawrence Kasdan'}, {'w.name': 'Ethan Canin'}, {'w.name': 'William Styron'}, {'w.name': 'Alan J. Pakula'}, {'w.name': 'Gary Ross'}, {'w.name': 'Charles Crichton'}, {'w.name': 'John Cleese'}, {'w.name': 'Israel Horovitz'}, {'w.name': 'John Cleese'}, {'w.name': 'Adam Brooks'}, {'w.name': 'John Patrick Shanley'}, {'w.name': 'Richard Glatzer'}, {'w.name': 'Rick Moody'}, {'w.name': 'Dean Devlin'}, {'w.name': 'Roland Emmerich'}, {'w.name': 'Ted Elliott'}, {'w.name': 'Terry Rossio'}, {'w.name': 'Max Borenstein'}, {'w.name': 'Christian Clavier'}, {'w.name': 'William Harrison'}, {'w.name': 'Franck Ollivier'}, {'w.name': 'Chris Nahon'}, {'w.name': 'Christian Clavier'}, {'w.name': 'Christopher Lloyd'}, {'w.name': 'Sam Fell'}, {'w.name': 'Joe Keenan'}, {'w.name': 'Peter Lord'}, {'w.name': 'Dick Clement'}, {'w.name': 'Ian La Frenais'}, {'w.name': 'William Davies'}, {'w.name': 'James V. Simpson'}, {'w.name': 'Steve Martin'}, {'w.name': 'Michael H. Weber'}, {'w.name': 'Scott Neustadter'}, {'w.name': 'J.D. Zeik'}, {'w.name': 'David Mamet'}, {'w.name': 'Luc Besson'}, {'w.name': 'Jacques Mayol'}, {'w.name': 'Luc Besson'}, {'w.name': 'Danièle Thompson'}, {'w.name': 'Dan Brown'}, {'w.name': 'Akiva Goldsman'}]",matched,
what are the primary languages in the movies directed by the director of [Blue],Latin|English,3,what are the primary languages in the movies directed by the director of [],"MATCH (m:movie)-[:directed_by]->(:director {name:'Blue'})<-[:directed_by]-(movies:movie)-[:in_language]->(languages:language)
RETURN DISTINCT languages.name as Primary_Languages",[],unmatched,
the movies that share writers with the movie [The Day After Tomorrow] were released in which years,1990|1985|1994|1996|1998|1954|2014|2008|2009,3,the movies that share writers with the movie [] were released in which years,"MATCH (m:movie {name: ""The Day After Tomorrow""})-[:written_by]->(w:writer)<-[:written_by]-(shared_movie:movie)-[:release_year]->(y:year)
RETURN DISTINCT y.name;","[{'y.name': '2008'}, {'y.name': '1998'}, {'y.name': '2014'}, {'y.name': '1954'}, {'y.name': '1985'}, {'y.name': '1996'}, {'y.name': '1990'}, {'y.name': '2009'}, {'y.name': '1994'}]",matched,
the films that share actors with the film [The Majestic] were in which languages,English,3,the films that share actors with the film [] were in which languages,"MATCH (m:movie {name: ""The Majestic""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(shared_movie:movie)-[:in_language]->(l:language)
RETURN shared_movie.name, l.name","[{'shared_movie.name': 'The Star Chamber', 'l.name': 'English'}]",matched,
what are the genres of the films whose screenwriters also wrote [The Dunwich Horror],Drama|Horror|Thriller,3,what are the genres of the films whose screenwriters also wrote [],"MATCH (m:movie)-[:written_by]->(w:writer)<-[:written_by]-(d:movie {name: ""The Dunwich Horror""}), (m)-[:has_genre]->(g:genre)
RETURN m.name as Movie, g.name as Genre","[{'Movie': 'The Tomb', 'Genre': 'Horror'}, {'Movie': 'Lucky You', 'Genre': 'Drama'}, {'Movie': 'White Dog', 'Genre': 'Drama'}, {'Movie': 'The Bedroom Window', 'Genre': 'Thriller'}]",matched,
who starred in the movies whose director also directed [The Core],Martha West|Bill Pullman|James Earl Jones|Bill Murray|Sean Connery|Holly Hunter|Sigourney Weaver|Richard Gere|Jodie Foster|Paul Bettany|Dermot Mulroney,3,who starred in the movies whose director also directed [],"MATCH (m:movie)-[:directed_by]->(d:director), (m)-[:starred_actors]->(a:actor), (tc:movie {name: ""The Core""})-[:directed_by]->(d)
RETURN a.name;","[{'a.name': 'Dermot Mulroney'}, {'a.name': 'Holly Hunter'}, {'a.name': 'Sigourney Weaver'}, {'a.name': 'James Earl Jones'}, {'a.name': 'Bill Pullman'}, {'a.name': 'Richard Gere'}, {'a.name': 'Jodie Foster'}, {'a.name': 'Martha West'}, {'a.name': 'Paul Bettany'}, {'a.name': 'Sean Connery'}, {'a.name': 'Bill Murray'}]",matched,
what were the release years of the films that share directors with the film [Taking Sides],1985|1981|1999|1988|2007|2004,3,what were the release years of the films that share directors with the film [],"MATCH (m:movie {name: ""Taking Sides""})-[:directed_by]->(d:director)<-[:directed_by]-(other_movie:movie)-[:release_year]->(y:year)
RETURN y.name;","[{'y.name': '2004'}, {'y.name': '1988'}, {'y.name': '2007'}, {'y.name': '1999'}, {'y.name': '1981'}, {'y.name': '1985'}]",matched,
what were the release years of the films that share writers with the film [Hell],1988,3,what were the release years of the films that share writers with the film [],"MATCH (m:movie {name: ""Hell""})-[:written_by]->(w:writer)<-[:written_by]-(f:movie)-[:release_year]->(y:year) RETURN y.name","[{'y.name': '1988'}, {'y.name': '1988'}]",matched,
the movies that share actors with the movie [The Evil Dead] are written by who,Don Coscarelli|Scott Spiegel|Bruce Campbell|Sam Raimi|Josh Becker|Mark Verheiden|Larry Cohen|Joe R. Lansdale,3,the movies that share actors with the movie [] are written by who,"MATCH (m:movie {name: ""The Evil Dead""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(shared_movie:movie), (shared_movie)-[:written_by]->(writer:writer)
RETURN shared_movie.name, writer.name","[{'shared_movie.name': 'Within the Woods', 'writer.name': 'Sam Raimi'}, {'shared_movie.name': 'Army of Darkness', 'writer.name': 'Sam Raimi'}, {'shared_movie.name': 'Bubba Ho-Tep', 'writer.name': 'Joe R. Lansdale'}, {'shared_movie.name': 'Bubba Ho-Tep', 'writer.name': 'Don Coscarelli'}, {'shared_movie.name': 'My Name Is Bruce', 'writer.name': 'Mark Verheiden'}, {'shared_movie.name': 'Maniac Cop 2', 'writer.name': 'Larry Cohen'}, {'shared_movie.name': 'Man with the Screaming Brain', 'writer.name': 'Bruce Campbell'}, {'shared_movie.name': 'Evil Dead II', 'writer.name': 'Scott Spiegel'}, {'shared_movie.name': 'Evil Dead II', 'writer.name': 'Sam Raimi'}, {'shared_movie.name': 'Within the Woods', 'writer.name': 'Sam Raimi'}, {'shared_movie.name': 'Running Time', 'writer.name': 'Josh Becker'}]",matched,
the films that share screenwriters with [One Foot in Heaven] were released in which years,1942|1943|1940|1944|1945|1954|1956|1937|1935|1952|2006|1939|2011,3,the films that share screenwriters with [] were released in which years,"MATCH (m:movie {name: 'One Foot in Heaven'})-[:written_by]->(w:writer)<-[:written_by]-(other_movies:movie)-[:release_year]->(y:year)
RETURN DISTINCT y.name;","[{'y.name': '1956'}, {'y.name': '1944'}, {'y.name': '2006'}, {'y.name': '1940'}, {'y.name': '1945'}, {'y.name': '1942'}, {'y.name': '1937'}, {'y.name': '1954'}, {'y.name': '1952'}, {'y.name': '2011'}, {'y.name': '1939'}, {'y.name': '1943'}, {'y.name': '1935'}]",matched,
what were the release dates of movies directed by the director of [Song of the Exile],2011|1982,3,what were the release dates of movies directed by the director of [],"MATCH (m:movie {name: ""Song of the Exile""})-[:directed_by]->(d:director)<-[:directed_by]-(other_movies:movie)-[:release_year]->(release_dates:year)
RETURN other_movies.name, release_dates.name;","[{'other_movies.name': 'Boat People', 'release_dates.name': '1982'}, {'other_movies.name': 'A Simple Life', 'release_dates.name': '2011'}]",matched,
who is listed as director of the movies starred by [An Autumn Afternoon] actors,Masahiro Shinoda,3,who is listed as director of the movies starred by [] actors,"MATCH (m:movie {name: ""An Autumn Afternoon""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(otherMovies:movie)-[:directed_by]->(d:director)
RETURN d.name as Director, otherMovies.name as Movie","[{'Director': 'Masahiro Shinoda', 'Movie': 'Double Suicide'}]",matched,
who is listed as screenwriter of the movies starred by [What's the Matter with Helen?] actors,Albert Hackett|Don Mankiewicz|Davis Grubb|Henry Jaglom|Gene Allen|William Roberts|Vladimir Nabokov|Borden Chase|Frances Goodrich|Guy Green|Theodore Dreiser|Grant Stuart|Richard Morris|James Mangold|Ezra D. Rappaport|Wyatt Cooper|Michael Wilson|Steve Fisher|Alex Gottlieb|Max Shulman|Paul Mazursky|Richard Emery Roberts|Irving Wallace|Robert Paul Smith|Robert Thom|Robert Kaufman|Hugo Butler|Paddy Chayefsky|Anne Frank|Dalton Trumbo|Helen Deutsch|Robert L. Richards|Victoria Foyt|Richard Siddoway|Gore Vidal|Harry Brown|George Axelrod|Elizabeth Kata|Norman Lear|Cid Ricketts Sumner|James Agee,3,who is listed as screenwriter of the movies starred by [] actors,"MATCH (m:movie {name: ""What's the Matter with Helen?""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(otherMovies:movie)-[:written_by]->(screenwriter:writer)
RETURN DISTINCT screenwriter.name","[{'screenwriter.name': 'Cid Ricketts Sumner'}, {'screenwriter.name': 'Richard Emery Roberts'}, {'screenwriter.name': 'Robert Paul Smith'}, {'screenwriter.name': 'Max Shulman'}, {'screenwriter.name': 'Richard Siddoway'}, {'screenwriter.name': 'Gore Vidal'}, {'screenwriter.name': 'Paddy Chayefsky'}, {'screenwriter.name': 'William Roberts'}, {'screenwriter.name': 'Norman Lear'}, {'screenwriter.name': 'Robert Kaufman'}, {'screenwriter.name': 'Alex Gottlieb'}, {'screenwriter.name': 'Steve Fisher'}, {'screenwriter.name': 'Richard Morris'}, {'screenwriter.name': 'Helen Deutsch'}, {'screenwriter.name': 'George Axelrod'}, {'screenwriter.name': 'James Mangold'}, {'screenwriter.name': 'Paul Mazursky'}, {'screenwriter.name': 'Guy Green'}, {'screenwriter.name': 'Elizabeth Kata'}, {'screenwriter.name': 'Anne Frank'}, {'screenwriter.name': 'Frances Goodrich'}, {'screenwriter.name': 'Albert Hackett'}, {'screenwriter.name': 'Vladimir Nabokov'}, {'screenwriter.name': 'Theodore Dreiser'}, {'screenwriter.name': 'Harry Brown'}, {'screenwriter.name': 'Michael Wilson'}, {'screenwriter.name': 'Gene Allen'}, {'screenwriter.name': 'Grant Stuart'}, {'screenwriter.name': 'Wyatt Cooper'}, {'screenwriter.name': 'Don Mankiewicz'}, {'screenwriter.name': 'Irving Wallace'}, {'screenwriter.name': 'Hugo Butler'}, {'screenwriter.name': 'Dalton Trumbo'}, {'screenwriter.name': 'Robert Thom'}, {'screenwriter.name': 'Victoria Foyt'}, {'screenwriter.name': 'Henry Jaglom'}, {'screenwriter.name': 'Ezra D. Rappaport'}, {'screenwriter.name': 'Robert L. Richards'}, {'screenwriter.name': 'Borden Chase'}, {'screenwriter.name': 'Davis Grubb'}, {'screenwriter.name': 'James Agee'}]",matched,
what types are the movies starred by actors in [Desperate Measures],Mystery|Romance|Horror|Crime|Drama|Adventure|Action|Comedy|Documentary|War|Thriller,3,what types are the movies starred by actors in [],"MATCH (m:movie)-[:starred_actors]->(a:actor)<-[:starred_actors]-(:movie {name: ""Desperate Measures""})-[:has_genre]->(g:genre)
RETURN m.name, g.name","[{'m.name': 'Bad News Bears', 'g.name': 'Action'}, {'m.name': 'The Invisible', 'g.name': 'Action'}, {'m.name': 'The Mist', 'g.name': 'Action'}, {'m.name': 'Flubber', 'g.name': 'Action'}, {'m.name': 'The Spitfire Grill', 'g.name': 'Action'}, {'m.name': 'American Gun', 'g.name': 'Action'}, {'m.name': 'Into the Wild', 'g.name': 'Action'}, {'m.name': 'Pollock', 'g.name': 'Action'}, {'m.name': ""Miller's Crossing"", 'g.name': 'Action'}, {'m.name': 'Gaudi Afternoon', 'g.name': 'Action'}, {'m.name': 'Mr. Mom', 'g.name': 'Action'}, {'m.name': 'Quicksand', 'g.name': 'Action'}, {'m.name': 'Live from Baghdad', 'g.name': 'Action'}, {'m.name': 'Batman Returns', 'g.name': 'Action'}, {'m.name': 'Multiplicity', 'g.name': 'Action'}, {'m.name': 'First Daughter', 'g.name': 'Action'}, {'m.name': 'Clean and Sober', 'g.name': 'Action'}, {'m.name': 'Johnny Dangerously', 'g.name': 'Action'}, {'m.name': 'The Merry Gentleman', 'g.name': 'Action'}, {'m.name': 'Pacific Heights', 'g.name': 'Action'}, {'m.name': 'Speechless', 'g.name': 'Action'}, {'m.name': 'My Life', 'g.name': 'Action'}, {'m.name': 'Penthouse North', 'g.name': 'Action'}, {'m.name': 'Gung Ho', 'g.name': 'Action'}, {'m.name': 'RoboCop', 'g.name': 'Action'}, {'m.name': 'The Last Time', 'g.name': 'Action'}, {'m.name': 'The Paper', 'g.name': 'Action'}, {'m.name': 'Game 6', 'g.name': 'Action'}, {'m.name': 'Batman', 'g.name': 'Action'}, {'m.name': 'The Dream Team', 'g.name': 'Action'}, {'m.name': 'Night Shift', 'g.name': 'Action'}, {'m.name': 'One Good Cop', 'g.name': 'Action'}, {'m.name': 'The Squeeze', 'g.name': 'Action'}, {'m.name': 'Jack Frost', 'g.name': 'Action'}, {'m.name': 'Running with Scissors', 'g.name': 'Action'}, {'m.name': 'Manhunter', 'g.name': 'Action'}, {'m.name': 'The Good Heart', 'g.name': 'Action'}, {'m.name': 'Troy', 'g.name': 'Action'}, {'m.name': 'The Escapist', 'g.name': 'Action'}, {'m.name': 'The Glimmer Man', 'g.name': 'Action'}, {'m.name': 'The Ringer', 'g.name': 'Action'}, {'m.name': 'The Bourne Supremacy', 'g.name': 'Action'}, {'m.name': 'The Trials of Henry Kissinger', 'g.name': 'Action'}, {'m.name': 'Shoot on Sight', 'g.name': 'Action'}, {'m.name': 'Ironclad', 'g.name': 'Action'}]",unmatched,
who acted in the films written by the screenwriter of [Invasion of the Bee Girls],Gary Sinise|Patricia Clarkson|Dennis Hopper|Alan Arkin|Ben Kingsley|Robert Duvall|Gene Hackman|David Warner|Nicol Williamson|Mary Steenburgen|Penélope Cruz|Malcolm McDowell|Anthony Hopkins|Mikhail Baryshnikov|Nicole Kidman,3,who acted in the films written by the screenwriter of [],,[],unmatched,
